Fecha,TSS,hrv,mmp5,rHRM,kjkg,hm,hrv_post
2025-04-20,102,86,0,48,18,9,136,60
2025-04-21,84,87,0,46,1,4,134,69
2025-04-22,148,79,254,46,21,6,135,55
2025-04-23,173,86,161,48,16,6,377,43
2025-04-24,76,84,224,50,10,6,112,67
2025-04-25,92,85,0,47,1,2,120,68
2025-04-26,269,64,225,45,48,5,266,25
2025-04-27,132,83,0,46,23,1,133,58
2025-04-28,96,85,0,46,2,1,142,68
2025-04-29,122,77,259,46,17,4,126,53
2025-04-30,225,79,164,46,26,6,364,31
2025-05-01,54,77,180,48,12,112,61
2025-05-02,98,78,0,47,1,4,126,62
2025-05-03,311,61,225,50,53,2,259,24
2025-05-04,70,80,0,51,12,9,136,64
2025-05-05,115,84,0,46,2,5,148,58
2025-05-06,164,76,255,46,13,7,253,38
2025-05-07,138,76,161,46,26,4,159,53
2025-05-08,60,76,162,48,12,2,116,60
2025-05-09,97,80,0,46,1,5,125,64
2025-05-10,333,60,226,46,56,2,246,24
2025-05-11,83,86,0,44,16,238,68
2025-05-12,99,85,0,45,1,3,120,68
2025-05-13,136,73,255,45,20,5,240,51
2025-05-14,228,82,0,46,28,7,346,32
2025-05-15,23,79,166,48,6,108,63
2025-05-16,96,78,0,44,2,1,139,62
2025-05-17,283,58,214,49,46,8,269,23
2025-05-18,71,80,0,50,13,2,146,64
2025-05-19,0,83,0,46,0,0,78
2025-05-20,142,77,236,47,12,8,250,53
2025-07-06,0,67,0,53,0,0,63
2025-07-07,84,78,0,51,0,8,121,62
2025-07-08,114,74,266,49,15,6,136,51
2025-07-09,183,74,0,51,14,7,285,37
2025-07-10,91,70,234,52,14,8,125,56
2025-07-11,155,73,0,53,11,8,267,36
2025-07-12,68,72,207,53,14,1,120,57
2025-07-13,135,70,0,50,23,7,282,49
2025-07-14,96,78,0,52,0,8,121,62
2025-07-15,116,73,269,51,16,2,129,51
2025-07-16,99,80,0,52,17,3,145,64
2025-07-17,91,83,248,49,10,1,252,66
2025-07-18,153,80,0,52,12,274,40
2025-07-19,194,55,248,55,26,6,126,27
2025-07-20,84,83,0,50,15,143,66
2025-07-21,83,79,0,53,1,2,128,63
2025-07-22,124,77,265,52,18,2,133,53
2025-07-23,114,81,0,50,20,4,146,56
2025-07-24,92,80,230,53,9,7,241,64
2025-07-25,151,76,0,52,11,5,271,38
2025-07-26,96,70,242,54,22,6,113,56
2025-07-27,87,86,0,50,16,2,142,68
2025-07-28,73,84,0,52,0,7,126,67
2025-07-29,107,77,269,49,16,4,124,53
2025-07-30,165,81,0,49,13,8,267,40
2025-07-31,79,75,244,50,13,6,121,60
2025-08-01,125,79,0,49,8,4,264,55
2025-08-02,161,59,217,54,27,3,259,29
2025-08-03,91,85,0,49,17,1,139,68
2025-08-04,65,82,0,50,0,9,133,65
2025-08-05,118,79,268,49,18,3,127,55
2025-08-06,177,78,0,51,14,7,270,39
2025-08-07,94,75,178,51,15,119,60
2025-08-08,139,80,0,49,8,5,270,56
2025-08-09,181,63,223,54,30,5,142,31
2025-08-10,116,77,0,52,21,137,53
2025-08-11,76,82,0,49,0,7,122,65
2025-08-12,117,76,258,48,17,3,134,53
2025-08-13,188,86,0,48,16,9,275,43
2025-08-14,84,84,235,51,10,5,243,67
2025-08-15,89,88,0,47,15,7,145,70
2025-08-16,181,65,221,49,29,4,253,32
2025-08-17,0,82,0,49,0,0,77
2025-08-18,0,88,0,49,0,0,83
2025-05-21,134,78,0,48,11,4,265,54
2025-05-22,33,79,0,48,7,8,113,63
2025-05-23,106,77,0,45,1,6,124,53
2025-05-24,228,64,190,51,39,2,266,25
2025-05-25,95,82,0,47,17,6,135,65
2025-05-26,0,83,0,47,0,0,78
2025-05-27,60,76,207,46,10,2,118,60
2025-05-28,38,75,0,49,8,1,129,60
2025-05-29,38,74,169,47,4,6,117,59
2025-05-30,30,73,0,51,0,7,135,58
2025-05-31,33,75,0,49,6,3,135,60
2025-06-01,566,54,194,52,90,3,416,21
2025-06-02,0,83,0,50,0,0,78
2025-06-03,0,77,0,47,0,0,73
2025-06-04,57,69,0,51,0,7,119,55
2025-06-05,0,76,165,47,0,0,72
2025-06-06,88,73,0,48,0,5,134,58
2025-06-07,53,67,166,50,10,6,111,53
2025-06-08,32,64,0,52,7,5,121,51
2025-06-09,55,67,0,53,0,5,112,53
2025-06-10,47,71,209,50,8,136,56
2025-06-11,69,67,0,53,6,5,243,53
2025-06-12,41,63,188,53,6,8,133,50
2025-06-13,48,75,0,53,0,5,124,60
2025-06-14,73,72,217,50,12,3,141,57
2025-06-15,0,74,0,49,0,0,70
2025-06-16,68,74,0,53,0,9,128,59
2025-06-17,92,77,226,47,12,5,131,61
2025-06-18,147,84,0,48,13,6,270,58
2025-06-19,73,72,225,51,11,8,119,57
2025-06-20,164,78,0,51,13,3,262,39
2025-06-21,94,71,178,51,15,119,56
2025-06-22,92,78,0,52,18,138,62
2025-06-23,89,82,0,51,1,124,65
2025-06-24,84,78,259,49,13,2,138,62
2025-06-25,180,83,0,50,14,7,311,41
2025-06-26,69,80,231,52,11,9,121,64
2025-06-27,152,80,0,51,11,5,267,40
2025-06-28,48,81,184,53,12,3,113,64
2025-06-29,64,83,0,50,12,2,137,66
2025-06-30,92,82,0,52,1,1,125,65
2025-07-01,93,82,266,50,14,5,137,65
2025-07-02,166,81,0,51,12,4,270,40
2025-07-03,75,82,228,52,12,3,121,65
2025-07-04,88,78,0,53,1,119,62
2025-07-05,120,67,212,54,20,7,139,46
